,website,in_sfdc
0,2020nursery.co.uk,False
1,20under20.co.uk,False
2,210am.co.uk,True
3,22smokinaces.co.uk,False
4,24-7discountgolf.co.uk,False
5,247bargains.co.uk,False
6,247games.co.uk,False
7,24hrdrinks.co.uk,False
8,24kcbd.co.uk,True
9,25pharma.co.uk,False
10,2cool4preschool.co.uk,False
11,2ndlanguage.co.uk,False
12,2pureproducts.co.uk,True
13,2tech.co.uk,True
14,2udirect.co.uk,True
15,2wear.uk,False
16,420vaporizer.co.uk,False
17,44ideas.co.uk,False
18,4biddenclothing.co.uk,False
19,4littlepeople.co.uk,False
20,4thelement-diving.co.uk,False
21,4yhtextiles.co.uk,True
22,b26customleather.co.uk,True
23,b73tees.co.uk,False
24,baababy.co.uk,True
25,baaramewe.co.uk,True
26,babycobrands.co.uk,False
27,babystream.co.uk,False
28,bdaily.co.uk,False
29,beales.co.uk,True
30,beautygoddess.co.uk,False
31,bebopfun.co.uk,False
32,bedtimesuperstores.co.uk,True
33,begung-ho.co.uk,False
34,bellaitalia.co.uk,False
35,bellsshoes.co.uk,False
36,birminghammuseums.org.uk,False
37,bl.uk,False
38,blackcatpc.co.uk,False
39,blackdragonpress.co.uk,True
40,bladespro.co.uk,False
41,bodyaware.co.uk,True
42,boldvape.co.uk,False
43,boredofsouthsea.co.uk,True
44,boucleme.co.uk,False
45,bushwear.co.uk,True
46,callashoes.co.uk,True
47,chainsandsprockets.co.uk,False
48,citygoddess.co.uk,True
49,cityoflondon.gov.uk,True
50,cleanandshiny.co.uk,True
51,clearspring.co.uk,False
52,coldcutshotwax.uk,False
53,collins.co.uk,False
54,comedycard.co.uk,False
55,contractfurniturestore.co.uk,True
56,coolcomponents.co.uk,True
57,counter-print.co.uk,False
58,craftbox.co.uk,False
59,craftginclub.co.uk,True
60,crewroom.co.uk,True
61,crumbsanddoilies.co.uk,True
62,kandorclothing.co.uk,False
63,katesclothing.co.uk,True
64,kigu.co.uk,True
65,kingsfund.org.uk,False
66,kinley.co.uk,False
67,kissmedeadly.co.uk,True
68,kitronik.co.uk,False
69,komodo.co.uk,True
70,kongonline.co.uk,True
71,kvantlasers.co.uk,False
72,namastevaporizers.co.uk,False
73,nationaltheatre.org.uk,True
74,naturalnutrients.co.uk,True
75,naturasiberica.co.uk,False
76,nealsyarddairy.co.uk,True
77,neverfullydressed.co.uk,True
78,newcakes.co.uk,True
79,nissan.co.uk,False
80,nookshop.co.uk,True
81,noughtsandkisses.co.uk,True
82,noughtyhaircare.co.uk,True
83,npgshop.org.uk,True
84,nspcc.org.uk,True
85,oliverspencer.co.uk,False
86,onestoppromotions.co.uk,True
87,t3-racing.co.uk,True
88,teapigs.co.uk,True
89,technologyoutlet.co.uk,True
90,tenga.co.uk,False
91,thebusinessfashion.co.uk,True
92,thefoxandstar.co.uk,False
93,thelittledeer.co.uk,False
94,thelurebox.co.uk,False
95,thenaturalhealthmarket.co.uk,True
96,theouai.co.uk,False
97,thestand.co.uk,False
98,thewoolcompany.co.uk,True
99,theyfit.co.uk,False
100,thirstymeeples.co.uk,True
101,thornbridgebrewery.co.uk,True
102,todestrieb.co.uk,False
103,toyzworld.co.uk,True
104,trophyfinder.co.uk,True
105,tug-e-nuff.co.uk,True
106,turnbullandasser.co.uk,True
107,twinkl.co.uk,False
108,twowests.co.uk,False
109,3dprintz.co.uk,False
110,iguanas.co.uk,False
111,imacwheel.co.uk,False
112,imagegang.co.uk,False
113,imagineearth.co.uk,False
114,imaginexfurniture.co.uk,True
115,imagnetic.co.uk,False
116,iman-cosmetics.co.uk,True
117,imbuelighting.co.uk,True
118,imeldasshoes.co.uk,False
119,imhi.co.uk,False
120,immany.co.uk,False
121,immerbeauty.uk,False
122,immortalinnovations.co.uk,False
123,immu.co.uk,False
124,immubiome.co.uk,False
125,immunamist.co.uk,False
126,immuniti.co.uk,False
127,imogensluxuries.co.uk,False
128,imolecandles.co.uk,False
129,imperialcandles.co.uk,True
130,imperiumnutrition.co.uk,False
131,implay.co.uk,False
132,improbablepress.co.uk,False
133,improveyourbench.co.uk,False
134,impulsewear.co.uk,False
135,imuscle-sarms.co.uk,False
136,imuvit.co.uk,False
137,imwornout.co.uk,False
138,in2access.co.uk,True
139,inaessentials.co.uk,False
140,inaluxbeauty.co.uk,False
141,incense-man.co.uk,False
142,incensuscandleco.co.uk,False
143,inchcape.co.uk,False
144,inchperfecttrials.co.uk,False
145,inchyraartsclub.co.uk,False
146,inchyrahome.co.uk,False
147,inclinaby.co.uk,False
148,incrediblecaketoppers.co.uk,False
149,incrediblybritish.co.uk,False
150,incube.co.uk,False
151,independentandworkready.co.uk,False
152,indiabay.co.uk,False
153,indian-ocean.co.uk,False
154,indianstones.co.uk,False
155,indiemorgan.co.uk,False
156,indigo-silver.co.uk,True
157,infruition.co.uk,False
158,inlei.co.uk,False
159,inlightbeauty.co.uk,True
160,inlinelighting.co.uk,False
161,innconfidence.co.uk,False
162,inndi.co.uk,True
163,innercirclecomics.co.uk,False
164,innerdelights.co.uk,False
165,innergraceswansea.co.uk,False
166,innerscents.co.uk,False
167,innersenses.co.uk,True
168,invada.co.uk,False
169,iphonepro.co.uk,False
170,itsthyme.co.uk,True
171,janeausten.co.uk,True
172,jaycotts.co.uk,True
173,juicewarrior.co.uk,False
174,jumpingclay.co.uk,True
175,jurawatches.co.uk,True
176,justpaintball.co.uk,True
177,sakonis.co.uk,False
178,samscotts.co.uk,False
179,scp.co.uk,True
180,scrawlrbox.uk,False
181,secretlabchairs.co.uk,True
182,seriouslysensual.co.uk,False
183,seventyseven.co.uk,False
184,shelter.org.uk,False
185,shifuyanlei.co.uk,True
186,shoplowcost.co.uk,False
187,snufflebeanyarn.co.uk,False
188,southbankcentre.co.uk,False
189,springchicken.co.uk,True
190,springfields.co.uk,True
191,stampdesign4u.co.uk,True
192,stateofdisarray.co.uk,False
193,steranko.co.uk,True
194,stevenbrownart.co.uk,True
195,stoneisland.co.uk,False
196,stovesupermarket.co.uk,False
197,sussexuniforms.co.uk,False
198,swishbasketball.co.uk,True
199,sxpro.co.uk,False
200,vandemlongboardshop.co.uk,True
201,vapemotion.co.uk,False
202,vapeshop.co.uk,False
203,vapeuk.co.uk,True
204,vapeukcbd.co.uk,False
205,vaping101.co.uk,True
206,velovitality.co.uk,False
207,villagekids.co.uk,True
208,vivolife.co.uk,True
209,danalevy.co.uk,True
210,dancewithlove.co.uk,False
211,dancexclusive.co.uk,True
212,dandylionsboutique.co.uk,False
213,daoyogi.co.uk,False
214,dappe.co.uk,False
215,dapperbeast.co.uk,False
216,dapperdog.co.uk,True
217,dapperdoggie.co.uk,False
218,dapperfox.co.uk,False
219,dapperrogue.co.uk,False
220,davedraws.co.uk,False
221,davidaustinroses.co.uk,False
222,davidlushbutchers.co.uk,False
223,davidsummerfield.co.uk,True
224,dawnofaquarius.co.uk,False
225,dawnsflowerboxsouthampton.co.uk,True
226,daydress.co.uk,False
227,daydweller.co.uk,False
228,dayone.co.uk,False
229,dazzle-dancewear.co.uk,True
230,dazzle.co.uk,True
231,dazzlingdesignscheer.co.uk,False
232,dbackdrop.co.uk,False
233,dblabsupplies.co.uk,True
234,dboltd.co.uk,False
235,dbp.me.uk,False
236,dbscollection.co.uk,False
237,dcaro.co.uk,True
238,dcbstore.co.uk,False
239,dccampersales.co.uk,False
240,dcolesolutions.co.uk,False
241,dcpackaging.co.uk,False
242,ddocklondon.co.uk,False
243,deaconjones.co.uk,True
244,deaddolly.co.uk,False
245,deadnight.co.uk,False
246,deadroses.co.uk,False
247,deafbooks.co.uk,False
248,dealbrand.co.uk,False
249,dealgiant.co.uk,False
250,dealsvault.co.uk,False
251,dearamy.co.uk,False
252,dearbarber.co.uk,True
253,diabetes.co.uk,True
254,diabetes.org.uk,True
255,discountcoffee.co.uk,True
256,divascloset.co.uk,False
257,durex.co.uk,True
258,halotop.uk,False
259,happykombucha.co.uk,True
260,harborist.co.uk,False
261,hario.co.uk,False
262,hasbean.co.uk,True
263,hatchetandbear.co.uk,False
264,hawkersco.co.uk,False
265,hbingredients.co.uk,False
266,hifiheadphones.co.uk,False
267,hiutdenim.co.uk,True
268,hogparts.co.uk,True
269,houseoffaiza.co.uk,True
270,huggle.co.uk,True
271,hullkr.co.uk,False
272,hydevapes.co.uk,False
273,ledhut.co.uk,False
274,leesa.co.uk,True
275,lightning-computers.co.uk,False
276,lights4fun.co.uk,True
277,lillybeau.co.uk,False
278,linastores.co.uk,False
279,liverpool.ac.uk,False
280,lotusartstudio.co.uk,True
281,loveislandshop.co.uk,False
282,lowcompany.co.uk,False
283,rainbowvapes.co.uk,False
284,rapidit.co.uk,True
285,rcgeeks.co.uk,False
286,rcn.org.uk,False
287,regalrose.co.uk,True
288,regeneratenr5.co.uk,False
289,remixd.co.uk,True
290,rmg.co.uk,False
291,rocwing.co.uk,False
292,roh.org.uk,False
293,rollhard.co.uk,True
294,ronning.co.uk,True
295,route13.co.uk,True
296,uk-mobilestore.co.uk,True
297,ukmcpro.co.uk,True
298,universalstore.uk,False
299,universalworks.co.uk,True
300,unwins.co.uk,False
301,urbanindustry.co.uk,True
302,zenminded.uk,False
303,zero-g.co.uk,True
304,fabfrocks.co.uk,True
305,falmouth.ac.uk,False
306,faradaic.co.uk,False
307,farhi.co.uk,False
308,farm2table.co.uk,False
309,farmtoysonline.co.uk,True
310,farriertools.co.uk,False
311,fascinatorsdirect.co.uk,True
312,fashaddict.co.uk,False
313,fashionably4you.co.uk,False
314,fashionablypregnant.co.uk,False
315,fashioninteract.co.uk,False
316,fashionloft.org.uk,False
317,fashionscarfworld.co.uk,False
318,fashionsilver.co.uk,False
319,fashiontrendz.co.uk,False
320,fashmind.co.uk,False
321,fast-pc.co.uk,False
322,fastdeals.co.uk,True
323,fastec-racing.co.uk,True
324,fastframes.co.uk,True
325,fastsoftware.co.uk,False
326,fatbutcherdelivery.co.uk,False
327,fatchimp.co.uk,True
328,fathamster.co.uk,False
329,fatlipshop.co.uk,True
330,fatmart.co.uk,False
331,fatwillyssurfshack.co.uk,False
332,faune.co.uk,False
333,fauxnation.co.uk,False
334,favely.co.uk,False
335,fawnandrose.co.uk,False
336,faydixondesign.co.uk,False
337,faye.co.uk,False
338,fayet.co.uk,False
339,fazenda.co.uk,False
340,fbargainsgalore.co.uk,False
341,fbcandlelight.co.uk,False
342,fdlcheese.co.uk,False
343,fdxsports.co.uk,False
344,fearless.co.uk,True
345,fearofzero.co.uk,False
346,feastbox.co.uk,True
347,feastin.co.uk,False
348,featherandnest.co.uk,True
349,featheringyournest.co.uk,True
350,featherpendants.co.uk,True
351,feathersofitaly.co.uk,True
352,feeldoppel.co.uk,True
353,feelingquirky.co.uk,False
354,feetfeet.co.uk,True
355,feetfirstfootwear.co.uk,False
356,femininewear.co.uk,True
357,flawlessvapeshop.co.uk,False
358,fogstar.co.uk,True
359,ford.co.uk,False
360,fredaldous.co.uk,True
361,gametee.co.uk,False
362,gatortail.co.uk,False
363,geekgaming.co.uk,True
364,goblingaming.co.uk,True
365,goodwinsmith.co.uk,True
366,gordonstcoffee.co.uk,False
367,grangers.co.uk,True
368,greatbritishflorist.co.uk,True
369,greatbritishtees.co.uk,False
370,greenpeople.co.uk,True
371,greyhaze.co.uk,True
372,grind.co.uk,True
373,papersmiths.co.uk,True
374,parliament.uk,False
375,partypieces.co.uk,False
376,patisserie-valerie.co.uk,False
377,pausemag.co.uk,False
378,pavers.co.uk,True
379,penguin.co.uk,False
380,pens-etc.co.uk,False
381,pexonpcs.co.uk,True
382,pixibeauty.co.uk,True
383,plutodirect.co.uk,False
384,polarnopyret.co.uk,True
385,potage.co.uk,True
386,powerhousefilms.co.uk,False
387,premier.org.uk,False
388,pressgazette.co.uk,False
389,printerpix.co.uk,False
390,progressjj.co.uk,True
391,prolon.co.uk,False
392,punkypins.co.uk,True
393,qub.ac.uk,False
394,wearwolfclothing.co.uk,True
395,weekenddoll.co.uk,False
396,worldofwool.co.uk,True
397,xcvb.co.uk,True
398,xtremeskins.co.uk,True
399,abacaorganic.co.uk,True
400,achillesheel.co.uk,True
401,activityvillage.co.uk,False
402,adamrossfabrics.co.uk,False
403,africanextracts.co.uk,True
404,africanmastersofstone.co.uk,True
405,africexpress.co.uk,False
406,afriwood.co.uk,False
407,afrobuy.co.uk,False
408,afroza.co.uk,False
409,after8shoes.co.uk,False
410,afteralice.co.uk,True
411,afterglowstudios.co.uk,False
412,afterparty.co.uk,False
413,afterpartystore.co.uk,False
414,aftonbypalm.co.uk,False
415,agastopia.co.uk,False
416,agatha-boutique.co.uk,True
417,aggadorablegems.co.uk,True
418,aggcrafts.co.uk,False
419,agiftbygaia.co.uk,False
420,agirlforalltime.co.uk,False
421,agitato.co.uk,False
422,agmeek.co.uk,True
423,agmmobile.co.uk,False
424,agnesium.co.uk,False
425,agorbody.co.uk,True
426,agoy.co.uk,False
427,agrisellex.co.uk,False
428,ahathletics.co.uk,False
429,ahighvibelife.co.uk,False
430,ahny.co.uk,False
431,ahoneybadger.co.uk,False
432,ahousefullofthread.co.uk,False
433,ahparties.uk,True
